Product Name;Product Category;Product Sub-Category;Product Container;Product Base Margin
Eldon Base for stackable storage shelf. platinum;Office Supplies;Storage & Organization;Large Box;0.8
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Office Supplies;Appliances;Jumbo Drum;0.58
Cardinal Slant-D Ring Binder. Heavy Gauge Vinyl;Office Supplies;Binders and Binder Accessories;Small Box;0.39
R380;Technology;Telephones and Communication;Small Box;0.58
Holmes HEPA Air Purifier;Office Supplies;Appliances;Medium Box;0.5
G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Furniture;Office Furnishings;Small Pack;0.37
Angle-D Binders with Locking Rings. Label Holders;Office Supplies;Binders and Binder Accessories;Small Box;0.38
SAFCO Mobile Desk Side File. Wire Frame;Office Supplies;Storage & Organization;Small Box;
SAFCO Commercial Wire Shelving. Black;Office Supplies;Storage & Organization;Large Box;
Xerox 198;Office Supplies;Paper;Small Box;0.38
Xerox 1980;Office Supplies;Paper;Small Box;0.4
Advantus Map Pennant Flags and Round Head Tacks;Office Supplies;Rubber Bands;Wrap Bag;0.53
Holmes HEPA Air Purifier;Office Supplies;Appliances;Medium Box;0.5
DS/HD IBM Formatted Diskettes. 200/Pack - Staples;Technology;Computer Peripherals;Small Pack;0.71
"Wilson Jones 1"" Hanging DublLock Ring Binders";Office Supplies;Binders and Binder Accessories;Small Box;0.37
Ultra Commercial Grade Dual Valve Door Closer;Furniture;Office Furnishings;Wrap Bag;0.53
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";Office Supplies;Envelopes;Small Box;0.4
Hon 4-Shelf Metal Bookcases;Furniture;Bookcases;Jumbo Box;0.6
Lesro Sheffield Collection Coffee Table. End Table. Center Table. Corner Table;Furniture;Tables;Large Box;0.68
g520;Technology;Telephones and Communication;Small Box;0.59
LX 788;Technology;Telephones and Communication;Small Box;0.58
Avery 52;Office Supplies;Labels;Small Box;0.38
Plymouth Boxed Rubber Bands by Plymouth;Office Supplies;Rubber Bands;Wrap Bag;0.8
"GBC Pre-Punched Binding Paper. Plastic. White. 8-1/2"" x 11""";Office Supplies;Binders and Binder Accessories;Small Box;0.37
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes. 10/Pack";Technology;Computer Peripherals;Small Pack;0.66
Newell 335;Office Supplies;Pens & Art Supplies;Wrap Bag;0.56
SANFORD Liquid Accent Tank-Style Highlighters;Office Supplies;Pens & Art Supplies;Wrap Bag;0.54
Canon PC940 Copier;Technology;Copiers and Fax;Jumbo Drum;0.38
Tenex Personal Project File with Scoop Front Design. Black;Office Supplies;Storage & Organization;Small Box;0.59
Col-Erase Pencils with Erasers;Office Supplies;Pens & Art Supplies;Wrap Bag;0.56
"Imation 3.5"" DS/HD IBM Formatted Diskettes. 10/Pack";Technology;Computer Peripherals;Small Pack;0.75
White Dual Perf Computer Printout Paper. 2700 Sheets. 1 Part. Heavyweight. 20 lbs.. 14 7/8 x 11;Office Supplies;Paper;Small Box;0.36
Self-Adhesive Address Labels for Typewriters by Universal;Office Supplies;Labels;Small Box;0.38
Accessory37;Technology;Telephones and Communication;Wrap Bag;0.81
Fuji 5.2GB DVD-RAM;Technology;Computer Peripherals;Small Pack;0.55
Bevis Steel Folding Chairs;Furniture;Chairs & Chairmats;Jumbo Drum;0.57
Avery Binder Labels;Office Supplies;Binders and Binder Accessories;Small Box;0.37
Hon Every-Day Chair Series Swivel Task Chairs;Furniture;Chairs & Chairmats;Jumbo Drum;0.64
"IBM Multi-Purpose Copy Paper. 8 1/2 x 11"". Case";Office Supplies;Paper;Small Box;0.4
Global Troy Executive Leather Low-Back Tilter;Furniture;Chairs & Chairmats;Jumbo Drum;0.6
XtraLife ClearVue Slant-D Ring Binders by Cardinal;Office Supplies;Binders and Binder Accessories;Small Box;0.35
Computer Printout Paper with Letter-Trim Perforations;Office Supplies;Paper;Small Box;0.37
